"filename", "language", "Dart", "YAML", "Markdown", "Swift", "C++", "JSON", "HTML", "Properties", "XML", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\Flutter projects\detailing\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Flutter projects\detailing\analysis_options.yaml", "YAML", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 178
"d:\Flutter projects\detailing\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 4, 13, 74
"d:\Flutter projects\detailing\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 39
"d:\Flutter projects\detailing\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"d:\Flutter projects\detailing\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 1, 37
"d:\Flutter projects\detailing\android\app\src\main\kotlin\com\example\detailing\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"d:\Flutter projects\detailing\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Flutter projects\detailing\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Flutter projects\detailing\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Flutter projects\detailing\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Flutter projects\detailing\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"d:\Flutter projects\detailing\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"d:\Flutter projects\detailing\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Flutter projects\detailing\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"d:\Flutter projects\detailing\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Flutter projects\detailing\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
